INFO 2025-08-04 17:00:33,678 autoreload 10228 13136 Watching for file changes with StatReloader
WARNING 2025-08-04 17:01:37,427 log 10228 11560 Not Found: /api/update-cell-state/
WARNING 2025-08-04 17:01:37,428 basehttp 10228 11560 "POST /api/update-cell-state/ HTTP/1.1" 404 3196
WARNING 2025-08-04 17:01:38,114 log 10228 11560 Not Found: /api/get-question/
WARNING 2025-08-04 17:01:38,115 basehttp 10228 11560 "GET /api/get-question/?letter=%D8%AB&session_id=3df61991-6758-4701-9139-f3dccb07be26 HTTP/1.1" 404 3246
WARNING 2025-08-04 17:01:42,635 log 10228 11560 Not Found: /api/update-scores/
WARNING 2025-08-04 17:01:42,636 basehttp 10228 11560 "POST /api/update-scores/ HTTP/1.1" 404 3184
WARNING 2025-08-04 17:01:45,215 log 10228 11560 Not Found: /favicon.ico
WARNING 2025-08-04 17:01:45,215 basehttp 10228 11560 "GET /favicon.ico HTTP/1.1" 404 3162
WARNING 2025-08-04 17:01:46,090 log 10228 11560 Not Found: /api/update-scores/
WARNING 2025-08-04 17:01:46,091 basehttp 10228 11560 "POST /api/update-scores/ HTTP/1.1" 404 3184
WARNING 2025-08-04 17:02:15,344 log 10228 11560 Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2025-08-04 17:02:15,344 basehttp 10228 11560 "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 3273
WARNING 2025-08-04 17:04:00,821 log 10228 11560 Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2025-08-04 17:04:00,822 basehttp 10228 11560 "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 3273
WARNING 2025-08-04 17:04:02,365 log 10228 11560 Not Found: /api/update-cell-state/
WARNING 2025-08-04 17:04:02,365 basehttp 10228 11560 "POST /api/update-cell-state/ HTTP/1.1" 404 3196
WARNING 2025-08-04 17:04:03,651 log 10228 11560 Not Found: /api/update-cell-state/
WARNING 2025-08-04 17:04:03,652 basehttp 10228 11560 "POST /api/update-cell-state/ HTTP/1.1" 404 3196
